sim_time, left_wheel_vel_x,left_wheel_vel_y,left_wheel_vel_z,right_wheel_vel_x,right_wheel_vel_y,right_wheel_vel_z,model_pos_x,model_pos_y,model_pos_z
15.021,-0.000198,0.008249,0.000373,-0.001203,0.008218,-0.000115,0.005001,9.4e-05,2e-06
15.04,-0.00043,0.024783,-0.00055,0.000754,0.028517,-0.000543,0.005053,9.6e-05,1e-06
15.134,0.000883,0.093236,-0.001204,-0.001358,0.09167,-0.000966,0.005636,0.000102,1e-06
15.229,0.001168,0.157576,-0.001249,-9.7e-05,0.153993,-0.000976,0.006802,0.000106,2e-06
15.331,-0.000401,0.235183,-0.001429,-0.000684,0.228583,-0.001213,0.00892,0.000112,0.0
15.43,7.6e-05,0.301733,-0.000525,-7.8e-05,0.299789,-0.001303,0.011568,0.000119,1e-06
15.531,-0.00024,0.372657,-0.003069,-0.000471,0.370774,-0.002628,0.015104,0.000125,2e-06
15.634,0.000498,0.448485,-0.00141,0.001174,0.450968,-0.001338,0.019476,0.000131,0.0
15.729,0.002613,0.513805,-0.001207,0.000556,0.512849,-0.002566,0.023858,0.000135,0.0
15.831,0.001585,0.589865,-0.002781,-0.000104,0.586958,-0.003078,0.029621,0.00014,0.0
15.936,0.004195,0.663627,-0.001134,0.000932,0.659327,-0.002583,0.036181,0.000146,0.0
16.038,0.000814,0.737145,-0.002747,0.001599,0.735901,-0.001201,0.043767,0.00015,2e-06
16.129,0.000328,0.800506,-0.000677,-0.001199,0.797147,-0.002276,0.05025,0.000152,0.0
16.23,0.002286,0.875614,-0.001536,0.002272,0.867633,-0.001536,0.059171,0.000151,1e-06
16.329,0.002714,0.943294,-0.003453,0.000718,0.939387,-0.002057,0.067847,0.00015,-1e-06
16.432,-3.6e-05,1.01925,-0.003034,0.001671,1.014801,-0.002064,0.078049,0.000147,1e-06
16.536,0.003193,1.092318,-0.003589,0.003396,1.08764,-0.002684,0.089142,0.00014,2e-06
16.629,0.003122,1.162432,-0.001525,0.002812,1.160205,-0.001616,0.099536,0.000134,-1e-06
16.73,0.003094,1.223976,-0.001192,0.003102,1.224772,-0.001162,0.111545,0.000118,0.0
16.831,0.003284,1.301735,-0.000735,0.00612,1.305169,0.001556,0.124857,9.4e-05,0.0
16.94,0.004079,1.372771,0.000166,-0.000956,1.379344,-0.001158,0.138979,6.5e-05,2e-06
17.03,0.006581,1.443689,0.001708,0.003988,1.446003,0.000271,0.151988,3.8e-05,1e-06
17.132,0.003895,1.513971,0.000228,0.00326,1.519948,0.000791,0.168012,1e-05,1e-06
17.229,0.001693,1.577346,0.000185,0.008629,1.583944,0.002897,0.181702,-1.8e-05,0.0
17.332,0.004114,1.65795,0.000322,0.00224,1.659177,-0.000205,0.199417,-5e-05,1e-06
17.431,0.003069,1.72226,-0.000852,0.006895,1.724414,0.000919,0.215194,-7.9e-05,0.0
17.531,0.00342,1.796097,-0.000712,0.006639,1.796888,0.000188,0.233022,-0.000114,-7e-06
17.629,0.002888,1.862745,-0.00083,0.004227,1.867793,-0.00068,0.25082,-0.000146,0.0
17.737000000000002,0.003662,1.944772,-0.000874,0.004159,1.948143,-0.001493,0.271256,-0.000184,-8e-06
17.833,0.001564,2.009173,-0.002891,0.009277,2.019159,-0.000369,0.291072,-0.000218,1e-06
17.935,0.000173,2.080773,-0.00242,0.003898,2.096249,-0.001119,0.312211,-0.000255,1e-06
18.033,0.005322,2.135547,-0.001531,0.004814,2.135,-0.001747,0.333026,-0.000296,0.0
18.131,0.007498,2.114243,-0.003005,0.003572,2.107242,-0.002834,0.353536,-0.00033,0.0
18.232,0.005482,2.087169,-0.001954,0.005593,2.080679,-0.001602,0.374673,-0.000366,-2e-06
18.33,0.007555,2.061163,-0.002443,0.004692,2.055734,-0.001843,0.394938,-0.000403,0.0
18.431,0.007215,2.036418,-0.001533,0.004285,2.031827,-0.001214,0.414953,-0.000444,0.0
18.532,0.004382,2.010715,-0.001508,0.004371,2.007493,-0.001505,0.435712,-0.000489,2e-06
18.63,0.008057,1.986469,-0.00257,0.006272,1.980756,-0.002535,0.455419,-0.000535,-8e-06
18.741,0.004847,1.959606,-0.002286,0.012446,1.95291,-0.003423,0.477249,-0.000587,1e-06
18.832,0.005735,1.936021,-0.002522,0.008213,1.927791,-0.00275,0.494906,-0.000633,1e-06
18.929,0.009414,1.910993,-0.002906,0.006177,1.904287,-0.002724,0.513501,-0.000684,1e-06
19.041,0.007381,1.882388,-0.002762,0.008842,1.874766,-0.002799,0.534848,-0.000746,3e-06
19.132,0.007578,1.860933,-0.00355,0.011116,1.854925,-0.003461,0.551229,-0.000799,-6e-06
19.233,0.011546,1.83478,-0.003376,0.006884,1.825899,-0.003485,0.569616,-0.000859,2e-06
19.333,0.012254,1.807976,-0.004505,0.012217,1.80258,-0.004506,0.588488,-0.000927,2e-06
19.428,0.008486,1.787589,-0.003662,0.013468,1.778453,-0.004487,0.604585,-0.000987,2e-06
19.531,0.01078,1.760773,-0.004035,0.011782,1.750187,-0.004051,0.623466,-0.001061,1e-06
19.628,0.011956,1.735326,-0.004075,0.013991,1.723786,-0.004106,0.640474,-0.001132,-8e-06
19.728,0.012027,1.712669,-0.003963,0.014012,1.696214,-0.004721,0.656751,-0.001206,2e-06
19.83,0.013542,1.684213,-0.005102,0.014639,1.671887,-0.004844,0.674985,-0.001293,1e-06
19.933,0.015685,1.659493,-0.004948,0.013017,1.646422,-0.00518,0.691769,-0.001378,1e-06
