num_trial,sim_time,left_pwm,right_pwm,model_pos_x,model_pos_y,theta
1,1.714,83,101,449.98514,655.6821289,-89.86345424
2,2.407,180,85,449.6171,686.3406982,-82.03726566
3,3.031,83,101,451.76477,650.343689,-86.68960002
3,3.088,83,101,451.15125,652.9935303,-86.12698292
3,3.222,83,101,451.8278,656.7404785,-85.27738264
4,3.943,180,85,442.92075,719.1421814,-76.41214195
4,4.025,180,85,442.92075,719.1421814,-76.41214195
4,4.08,180,85,443.24332,718.0682068,-76.05338447
5,4.715,83,101,454.0311,659.3632813,-82.29906251
5,4.81,83,101,453.57797,657.2305908,-82.14508228
5,4.899,83,101,450.5265,667.9986572,-78.02658764
5,5.002,83,101,447.84512,684.1981201,-75.57404407
6,5.691,180,85,429.0851,744.8460388,-69.14998654
6,5.796,180,85,428.56274,744.3429565,-69.10155964
6,5.919,180,85,432.0322,730.8581238,-71.77851876
7,6.591,83,101,449.09955,666.4061279,-80.83211539
7,6.692,83,101,449.09955,666.4061279,-80.83211539
7,6.762,83,101,447.75916,674.484314,-78.33120286
7,6.887,83,101,440.87186,700.5814819,-73.39882051
8,7.603,180,85,418.1863,762.3217468,-65.78763821
8,7.68,180,85,418.1863,762.3217468,-65.78763821
8,7.712,180,85,418.1863,762.3217468,-65.78763821
8,7.801,180,85,422.2407,754.4981384,-66.725378
8,7.885,180,85,422.2407,754.4981384,-66.725378
8,7.945,180,85,422.2407,754.4981384,-66.725378
9,8.603,83,101,453.5618,655.6282959,-79.6031534
9,8.738,83,101,453.5618,655.6282959,-79.6031534
9,8.798,83,101,448.6884,668.5403442,-75.06945524
9,8.925,83,101,442.7189,694.552063,-71.28718874
9,9.023,83,101,432.42856,720.418457,-67.55758711
10,9.72,180,85,405.1475,774.3511963,-60.81703493
10,9.817,180,85,405.14944,772.6575012,-59.45429328
10,9.895,180,85,405.14944,772.6575012,-59.45429328
10,9.938,180,85,405.14944,772.6575012,-59.45429328
10,10.053,180,85,428.1827,732.0699158,-65.42497272
10,10.15,180,85,440.90717,705.4937134,-68.17189513
11,10.776,83,101,461.58453,648.6345215,-73.32167462
11,10.875,83,101,461.60397,650.2301025,-73.9348462
11,11.009,83,101,455.08408,667.4647827,-70.89824547
11,11.117,83,101,455.08408,667.4647827,-70.89824547
11,11.177,83,101,439.0315,704.3914795,-64.52449934
11,11.301,83,101,426.73428,728.7722168,-61.35879738
12,11.924,180,85,392.63174,783.5348816,-56.33845844
12,12.026,180,85,390.58347,783.0746765,-55.83958716
12,12.126,180,85,396.42834,776.1850281,-57.55849494
12,12.263,180,85,414.83362,746.0906372,-61.69415565
12,12.357,180,85,429.56573,720.4585266,-65.70000392
12,12.46,180,85,436.17468,702.7923584,-66.27701783
13,13.089,83,101,460.10443,642.2800293,-71.60750163
13,13.187,83,101,460.10443,642.2800293,-71.60750163
13,13.253,83,101,459.04364,643.420105,-69.24980093
13,13.383,83,101,450.85217,666.9076538,-65.08059485
13,13.482,83,101,437.54016,692.9762573,-61.99425487
13,13.578,83,101,426.97842,708.4874878,-58.93297166
13,13.68,83,101,418.11487,723.9255676,-56.59165478
13,13.777,83,101,399.40558,747.495697,-53.58298849
14,14.447,180,85,359.87292,792.1058044,-43.41090947
14,14.507,180,85,358.4107,792.1298828,-43.40075951
14,14.637,180,85,364.3125,786.9086914,-43.75759547
14,14.735,180,85,390.26007,761.5586548,-50.55643366
14,14.811,180,85,390.26007,761.5586548,-50.55643366
14,14.847,180,85,390.26007,761.5586548,-50.55643366
14,14.901,180,85,415.5857,732.8819275,-54.13195461
14,14.981,180,85,415.5857,732.8819275,-54.13195461
14,15.012,180,85,415.5857,732.8819275,-54.13195461
14,15.066,180,85,439.92776,701.119812,-56.57268868
15,15.627,83,101,471.78046,650.5953369,-60.79770601
15,15.735,83,101,471.78046,650.5953369,-60.79770601
15,15.774,83,101,471.78046,650.5953369,-60.79770601
15,15.829,83,101,465.94513,659.7786865,-57.36245201
15,15.928,83,101,456.22614,672.7650757,-53.9863834
15,16.033,83,101,456.22614,672.7650757,-53.9863834
15,16.074,83,101,456.22614,672.7650757,-53.9863834
15,16.154,83,101,418.1876,716.6947937,-44.32989641
15,16.262,83,101,403.7623,729.1003418,-42.34206937
15,16.378,83,101,381.66782,748.2564087,-40.74264184
16,17.05,180,85,326.92575,787.5901184,-33.09974819
16,17.161,180,85,326.92575,787.5901184,-33.09974819
16,17.248,180,85,335.85614,781.0454407,-35.55661803
16,17.331,180,85,335.85614,781.0454407,-35.55661803
16,17.415,180,85,372.22253,752.4954529,-41.74605956
16,17.487,180,85,372.22253,752.4954529,-41.74605956
16,17.519,180,85,372.22253,752.4954529,-41.74605956
16,17.575,180,85,399.45505,727.5028992,-44.79591523
16,17.647,180,85,399.45505,727.5028992,-44.79591523
16,17.684,180,85,399.45505,727.5028992,-44.79591523
16,17.738,180,85,426.68845,700.1715698,-49.93598541
16,17.822,180,85,426.68845,700.1715698,-49.93598541
17,18.501,83,101,478.96765,636.7192993,-55.26472212
17,18.603,83,101,478.22415,635.7276001,-56.65551495
17,18.678,83,101,478.22415,635.7276001,-56.65551495
17,18.767,83,101,460.18762,657.6654663,-51.94900952
17,18.855,83,101,443.5531,679.3890381,-48.88459478
17,18.957,83,101,429.43954,692.5674438,-44.37691766
17,19.089,83,101,408.0802,712.5114746,-41.80377478
17,19.185,83,101,386.66534,730.3622742,-38.01233231
17,19.292,83,101,368.7354,741.7598877,-35.6740697
17,19.393,83,101,354.5452,751.5205383,-33.31157481
18,20.045,180,85,292.6857,784.6571045,-24.48108893
18,20.154,180,85,292.6857,784.6571045,-24.48108893
18,20.192,180,85,292.6857,784.6571045,-24.48108893
18,20.253,180,85,309.6466,778.0617371,-26.68022537
18,20.349,180,85,331.7137,767.5394897,-30.92261478
18,20.422,180,85,331.7137,767.5394897,-30.92261478
18,20.517,180,85,364.73816,746.3379822,-33.24584172
18,20.596,180,85,364.73816,746.3379822,-33.24584172
18,20.65,180,85,364.73816,746.3379822,-33.24584172
18,20.707,180,85,406.0668,720.285553,-38.30667377
18,20.842,180,85,427.6256,701.2697144,-40.84152056
19,21.5,83,101,477.43942,656.3753662,-44.63393507
19,21.628,83,101,475.7721,658.0596924,-44.09593281
19,21.728,83,101,457.6392,672.7476196,-39.37560262
19,21.833,83,101,442.1731,684.2703247,-36.74336137
19,21.904,83,101,442.1731,684.2703247,-36.74336137
19,21.964,83,101,419.90933,700.8533936,-32.90714746
19,22.095,83,101,393.75717,714.3555908,-29.7794481
19,22.174,83,101,393.75717,714.3555908,-29.7794481
19,22.261,83,101,358.7555,731.9073486,-24.89827051
19,22.359,83,101,331.14236,743.9838562,-22.64169535
19,22.46,83,101,313.98715,748.7705383,-19.14235946
20,23.144,180,85,246.46179,764.9754639,-14.21134259
20,23.229,180,85,246.46179,764.9754639,-14.21134259
20,23.287,180,85,248.19008,764.6740112,-15.17897297
20,23.359,180,85,248.19008,764.6740112,-15.17897297
20,23.396,180,85,248.19008,764.6740112,-15.17897297
20,23.448,180,85,283.31287,754.2757874,-21.126761
20,23.547,180,85,299.13916,749.4862061,-22.84780242
20,23.678,180,85,327.275,736.8581848,-25.54718154
20,23.776,180,85,353.75925,724.4401855,-29.377781
20,23.876,180,85,370.8117,714.6713867,-30.01525338
20,23.991,180,85,370.8117,714.6713867,-30.01525338
20,24.074,180,85,413.78458,691.1408691,-34.6334258
21,24.734,83,101,465.86078,653.3756714,-38.45781881
21,24.812,83,101,465.86078,653.3756714,-38.45781881
21,24.87,83,101,463.39096,654.5263062,-36.66110111
21,24.968,83,101,450.48056,663.1735229,-34.73222426
21,25.065,83,101,426.53827,677.9830322,-30.65370785
21,25.163,83,101,409.11407,688.4586182,-27.99695809
21,25.274,83,101,391.296,696.9580688,-25.68645062
21,25.425,83,101,355.634,712.1026306,-21.54498866
21,25.524,83,101,326.1529,720.2488098,-18.36238358
21,25.63,83,101,306.9658,725.9964294,-16.11479106
21,25.736,83,101,306.9658,725.9964294,-16.11479106
22,26.423,180,85,213.89958,740.1800842,-6.968278481
22,26.544,180,85,213.89958,740.1800842,-8.562156964
22,26.65,180,85,228.31009,738.7915955,-9.847556974
22,26.756,180,85,254.87065,734.5655212,-15.31809494
22,26.854,180,85,271.00677,729.3301086,-15.14230553
22,26.945,180,85,298.6974,722.2898254,-19.05765237
22,27.052,180,85,318.1899,717.1630249,-21.07608372
22,27.154,180,85,318.1899,717.1630249,-21.07608372
22,27.214,180,85,355.115,704.5545654,-25.91386025
22,27.317,180,85,355.115,704.5545654,-25.91386025
22,27.38,180,85,389.73166,687.6067505,-27.94027688
22,27.478,180,85,389.73166,687.6067505,-27.94027688
23,28.142,83,101,466.47226,643.2277832,-36.48838501
23,28.238,83,101,465.71378,642.2167969,-36.38912523
23,28.335,83,101,455.9651,648.6990967,-35.77587983
23,28.432,83,101,440.55765,656.8731079,-31.87680881
23,28.534,83,101,417.41754,672.7297974,-28.99213687
23,28.606,83,101,417.41754,672.7297974,-28.99213687
23,28.639,83,101,417.41754,672.7297974,-28.99213687
23,28.673,83,101,417.41754,672.7297974,-28.99213687
23,28.763,83,101,374.40497,693.8102417,-24.58376598
23,28.863,83,101,346.01263,704.7021484,-21.05880681
23,28.958,83,101,326.04904,709.1961365,-18.51480712
23,29.088,83,101,295.98386,715.7012024,-14.19000276
23,29.216,83,101,269.05844,721.5611267,-11.27054668
23,29.317,83,101,239.98822,725.2893677,-8.018954938
24,29.978,180,85,176.73613,725.663208,-0.014810376
24,30.082,180,85,176.73613,725.663208,0.776580622
24,30.183,180,85,184.79555,726.0636292,0.798685621
24,30.28,180,85,219.19055,724.8495789,-3.270249711
24,30.379,180,85,238.08426,724.5595093,-7.290506259
24,30.507,180,85,266.41504,722.4175415,-9.668378549
24,30.588,180,85,266.41504,722.4175415,-9.668378549
24,30.673,180,85,304.89325,716.9080505,-12.8914354
24,30.772,180,85,331.73074,712.4149475,-15.72374779
24,30.875,180,85,352.25262,706.6882935,-16.83604775
24,30.97,180,85,371.7998,702.6824951,-19.91040033
24,31.047,180,85,371.7998,702.6824951,-19.91040033
24,31.114,180,85,371.7998,702.6824951,-19.91040033
25,31.766,83,101,466.75784,664.0126953,-26.92489242
25,31.867,83,101,466.00858,664.593689,-27.12764416
25,31.966,83,101,466.00858,664.593689,-27.12764416
25,32.023,83,101,436.44864,676.2412109,-21.9845905
25,32.128,83,101,418.03564,681.3310547,-18.31467542
25,32.263,83,101,389.19373,690.3429565,-15.69329335
25,32.359,83,101,360.9881,695.0930786,-12.0124254
25,32.459,83,101,340.90607,698.6309814,-10.32550291
25,32.557,83,101,321.08148,701.5658569,-8.065393261
25,32.638,83,101,321.08148,701.5658569,-8.065393261
25,32.706,83,101,321.08148,701.5658569,-8.065393261
25,32.761,83,101,271.43802,700.8563232,-0.829590556
25,32.886,83,101,240.26144,699.958252,0.858756817
25,32.981,83,101,211.07419,696.791626,6.269932564
26,33.61,180,85,150.13037,681.9508667,13.48738524
26,33.719,180,85,150.7924,684.1012573,12.72442186
26,33.838,180,85,162.99448,686.1863403,13.82360331
26,33.937,180,85,197.2392,693.9472046,6.509947995
26,34.037,180,85,216.57121,697.5037842,4.904362596
26,34.148,180,85,216.57121,697.5037842,4.904362596
26,34.208,180,85,254.68254,699.7680664,1.638162583
