trial_num,sim_time,left_pwm,right_pwm,model_pos_x,model_pos_y,theta
1,3.05,83,101,465.40582,624.6432495117188,85.30101138646258
1,3.083,83,101,465.40582,624.6432495117188,85.30101138646258
1,3.119,83,101,465.40582,624.6432495117188,85.26071920100289
2,3.709,180,85,465.3784,599.2324829101562,93.26803706082968
2,3.747,180,85,465.49634,600.0584716796875,93.2287870318239
3,4.343,83,101,464.34818,628.1461791992188,88.94591586523221
3,4.376,83,101,464.56265,628.7879028320312,88.92499183446674
3,4.444,83,101,462.788,629.299072265625,87.51616094191095
3,4.48,83,101,464.63324,628.6617431640625,88.95272729375338
3,4.503,83,101,464.15683,627.675048828125,87.50097210790027
3,4.536,83,101,464.15683,627.675048828125,87.50097210790027
4,5.127,180,85,466.9638,581.1499633789062,103.63061584281878
4,5.164,180,85,465.91785,579.7970581054688,102.77956639664538
4,5.232,180,85,465.91785,579.7970581054688,102.77956639664538
4,5.265,180,85,465.42624,580.4459838867188,102.78105476833863
4,5.299,180,85,465.7842,580.7127685546875,101.93597250171688
5,5.896,83,101,458.58548,631.1021118164062,94.30530726276649
5,5.92,83,101,458.2098,629.1106567382812,94.14315621348959
5,5.959,83,101,458.2098,629.1106567382812,94.14315621348959
5,5.993,83,101,459.27258,630.8953247070312,94.19502933574958
5,6.06,83,101,459.22623,629.35986328125,94.11523803017275
5,6.092,83,101,458.49854,630.3316040039062,94.39226757177441
5,6.127,83,101,460.1948,622.7933349609375,96.60089427852111
6,6.716,180,85,473.8391,564.2435302734375,113.17940782337607
6,6.75,180,85,474.1058,564.62744140625,113.20023422208206
6,6.787,180,85,474.1058,564.62744140625,113.20023422208206
6,6.852,180,85,474.01077,564.7288208007812,112.19881104774464
6,6.886,180,85,472.70593,564.7129516601562,111.91102477527252
6,6.92,180,85,470.85403,568.520263671875,112.54571784214919
6,6.986,180,85,470.85403,568.520263671875,112.54571784214919
7,7.54,83,101,449.61624,636.2908935546875,101.75591555531827
7,7.573,83,101,449.61624,636.2908935546875,101.04078540138802
7,7.643,83,101,449.417,636.22802734375,101.0846258045771
7,7.678,83,101,449.52078,637.6650390625,101.27255792606128
7,7.713,83,101,449.87686,636.623779296875,100.8773586679238
7,7.778,83,101,450.54913,634.918212890625,102.17530794774466
7,7.801,83,101,451.7903,628.6817016601562,104.57907207200545
7,7.834,83,101,451.7903,628.6817016601562,104.57907207200545
7,7.867,83,101,451.7903,628.6817016601562,104.57907207200545
7,7.933,83,101,451.7903,628.6817016601562,104.57907207200545
8,8.49,180,85,481.43488,552.154541015625,124.06510264443281
8,8.557,180,85,481.7799,552.5455932617188,124.10118928893453
8,8.602,180,85,480.38336,552.6292724609375,122.92878649366507
8,8.636,180,85,481.00925,552.7445678710938,122.58370698576555
8,8.659,180,85,481.4055,554.6275634765625,122.02359586324305
8,8.737,180,85,481.4055,554.6275634765625,122.02359586324305
8,8.759,180,85,481.4055,554.6275634765625,122.02359586324305
8,8.792,180,85,481.4055,554.6275634765625,122.02359586324305
8,8.825,180,85,481.4055,554.6275634765625,122.02359586324305
9,9.418,83,101,481.4055,554.6275634765625,122.02359586324305
9,9.455,83,101,481.4055,554.6275634765625,122.02359586324305
9,9.524,83,101,440.07367,641.8635864257812,108.8576430452301
9,9.558,83,101,438.6538,641.9520874023438,107.4885651926146
9,9.595,83,101,439.9319,641.7640991210938,110.21454471961322
9,9.617,83,101,439.9319,641.7640991210938,110.21454471961322
9,9.685,83,101,439.9319,641.7640991210938,110.21454471961322
9,9.718,83,101,439.9319,641.7640991210938,110.21454471961322
9,9.753,83,101,439.9319,641.7640991210938,110.21454471961322
9,9.788,83,101,439.9319,641.7640991210938,110.21454471961322
9,9.854,83,101,439.9319,641.7640991210938,110.21454471961322
9,9.89,83,101,439.9319,641.7640991210938,110.21454471961322
10,10.478,180,85,495.64508,544.1676635742188,136.5646408789563
10,10.511,180,85,495.46182,544.26025390625,136.65389246622135
10,10.55,180,85,496.00787,544.4315795898438,136.61982997424175
10,10.584,180,85,495.70435,543.9310913085938,136.66036128133868
10,10.652,180,85,496.00787,544.4315795898438,136.61982997424175
10,10.676,180,85,492.99777,548.0518798828125,132.48152732805275
10,10.709,180,85,492.99777,548.0518798828125,132.48152732805275
10,10.743,180,85,492.99777,548.0518798828125,132.48152732805275
10,10.807,180,85,492.99777,548.0518798828125,132.48152732805275
10,10.841,180,85,492.99777,548.0518798828125,132.48152732805275
10,10.877,180,85,492.99777,548.0518798828125,132.48152732805275
10,10.911,180,85,492.99777,548.0518798828125,132.48152732805275
11,11.5,83,101,423.49966,643.9697265625,118.98187144649548
11,11.532,83,101,423.49966,643.9697265625,118.98187144649548
11,11.601,83,101,423.49966,643.9697265625,119.60361814133391
11,11.635,83,101,423.49966,643.9697265625,118.98187144649548
11,11.668,83,101,424.0241,642.3421630859375,119.85580137654154
11,11.701,83,101,424.0241,642.3421630859375,119.85580137654154
11,11.764,83,101,424.0241,642.3421630859375,119.85580137654154
11,11.799,83,101,424.0241,642.3421630859375,119.85580137654154
11,11.835,83,101,424.0241,642.3421630859375,119.85580137654154
11,11.902,83,101,424.0241,642.3421630859375,119.85580137654154
11,11.936,83,101,424.0241,642.3421630859375,119.85580137654154
11,11.959,83,101,424.0241,642.3421630859375,119.85580137654154
11,12.005,83,101,465.26175,586.8565673828125,137.85694385018616
11,12.06,83,101,465.26175,586.8565673828125,137.85694385018616
11,12.092,83,101,465.26175,586.8565673828125,137.85694385018616
12,12.66,180,85,514.52997,541.3141479492188,151.3407389667913
12,12.727,180,85,513.6477,541.5057983398438,150.7290371918321
12,12.753,180,85,513.0584,541.5142822265625,150.69184135498477
12,12.787,180,85,514.98975,543.1683349609375,151.3443596122529
12,12.855,180,85,512.2158,542.4302978515625,149.6867007761811
12,12.89,180,85,512.2158,542.4302978515625,149.6867007761811
12,12.926,180,85,512.2158,542.4302978515625,149.6867007761811
12,12.959,180,85,512.2158,542.4302978515625,149.6867007761811
12,13.026,180,85,512.2158,542.4302978515625,149.6867007761811
12,13.047,180,85,512.2158,542.4302978515625,149.6867007761811
12,13.092,180,85,467.50897,577.2554321289062,142.99838044933955
12,13.114,180,85,467.50897,577.2554321289062,142.99838044933955
12,13.188,180,85,467.50897,577.2554321289062,142.99838044933955
12,13.223,180,85,467.50897,577.2554321289062,142.99838044933955
12,13.255,180,85,467.50897,577.2554321289062,142.99838044933955
13,13.815,83,101,404.23877,640.6908569335938,130.95187882326192
13,13.847,83,101,403.49103,640.5698852539062,132.0438283816156
13,13.885,83,101,404.2069,639.1489868164062,131.46125476571504
13,13.908,83,101,404.0369,639.8533935546875,131.54220030225258
13,13.974,83,101,402.23425,640.4856567382812,131.54563917768863
13,14.006,83,101,406.98172,635.889404296875,132.0375436353282
13,14.041,83,101,406.98172,635.889404296875,132.0375436353282
13,14.076,83,101,406.98172,635.889404296875,132.0375436353282
13,14.143,83,101,406.98172,635.889404296875,132.0375436353282
13,14.176,83,101,406.98172,635.889404296875,132.0375436353282
13,14.209,83,101,406.98172,635.889404296875,132.0375436353282
13,14.243,83,101,406.98172,635.889404296875,132.0375436353282
13,14.309,83,101,406.98172,635.889404296875,132.0375436353282
13,14.343,83,101,406.98172,635.889404296875,132.0375436353282
13,14.376,83,101,406.98172,635.889404296875,132.0375436353282
13,14.444,83,101,406.98172,635.889404296875,132.0375436353282
13,14.477,83,101,406.98172,635.889404296875,132.0375436353282
13,14.51,83,101,406.98172,635.889404296875,132.0375436353282
14,15.099,180,85,536.19836,546.9172973632812,165.22538084979993
14,15.131,180,85,535.6579,545.9779052734375,165.191430522181
14,15.17,180,85,536.43427,546.618408203125,165.25582071531247
14,15.235,180,85,535.9252,546.4155883789062,165.23722355426588
14,15.271,180,85,536.57196,546.5084228515625,164.71925999770528
14,15.295,180,85,532.25104,547.682373046875,162.68124123886648
14,15.329,180,85,532.25104,547.682373046875,162.68124123886648
14,15.397,180,85,511.4862,556.659423828125,162.34504042858012
14,15.431,180,85,504.4408,559.445556640625,161.46769095612575
14,15.466,180,85,504.4408,559.445556640625,161.46769095612575
14,15.498,180,85,487.1324,567.357177734375,158.75815464238394
14,15.564,180,85,487.1324,567.357177734375,158.75815464238394
14,15.599,180,85,487.1324,567.357177734375,158.75815464238394
14,15.633,180,85,487.1324,567.357177734375,158.75815464238394
14,15.667,180,85,487.1324,567.357177734375,158.75815464238394
14,15.723,180,85,487.1324,567.357177734375,158.75815464238394
14,15.756,180,85,487.1324,567.357177734375,158.75815464238394
14,15.792,180,85,487.1324,567.357177734375,158.75815464238394
15,16.349,83,101,382.6305,628.1578369140625,146.61302039958434
15,16.383,83,101,383.80795,628.4337158203125,148.30549196726116
15,16.428,83,101,382.12256,627.86376953125,147.2864257936669
