trial_num,left_pwm,right_pwm,sim_time_start,model_pos_x_start,model_pos_y_start,theta_start,sim_time_final,model_pos_x_final,model_pos_y_final,theta_final
1,160,15,523,415.25058,415.2172852,90.98909952,3006,414.729,448.0690308,88.72517158
2,0,180,3627,414.729,448.0690308,88.72517158,4351,415.1036,415.19104,88.1743263
3,83,85,4946,413.61102,416.5524292,87.4069425,5707,413.83374,409.4644165,117.9560627
4,180,101,6333,413.83374,409.4644165,117.9560627,7061,413.61102,416.5524292,90.93537948
5,83,90,7650,414.63147,416.9572144,91.62669894,8350,416.59946,396.0840454,109.867839
6,180,90,8935,416.2423,396.3604736,110.0544452,9672,413.39902,414.7799072,91.67543829
7,90,101,10292,413.37057,415.3641357,91.67961428,11013,414.68805,404.786377,80.34951472
8,90,85,11607,414.53705,404.7681274,80.32634597,12310,413.49496,418.0296631,92.3571424
9,90,90,12896,413.49496,418.0296631,92.3571424,13624,412.90723,417.9558105,92.35213186
10,160,15,14220,413.13858,418.319458,92.35424103,14947,411.95425,451.1883545,92.35228219
11,0,180,15539,411.95425,451.1883545,92.35228219,16269,414.74698,415.4801025,93.0847734
12,83,85,16852,413.87302,415.1033936,93.1106735,17625,415.32355,408.1080322,124.0705239
13,180,101,18282,415.32355,408.1080322,124.6841648,19043,413.61102,416.5524292,95.20581827
14,83,90,19667,413.25464,416.8413086,95.20084617,20387,419.34073,396.3153687,115.815335
15,180,90,20979,418.98328,396.5938721,115.8033723,21741,413.25464,416.8413086,95.89416711
16,90,101,22370,414.51538,415.1138306,96.54806949,23067,414.53705,404.7681274,83.9090343
17,90,85,23659,414.18033,405.0492554,83.91362992,24420,414.77753,416.9852905,98.65083234
18,90,90,25009,413.61102,416.5524292,98.00625168,25739,414.98804,416.6672974,99.38927042
19,160,15,26325,414.63147,416.9572144,98.62821146,27051,410.92224,451.609314,97.30211216
20,0,180,27645,410.92276,450.7627563,97.35971069,28416,414.65918,413.0549927,99.38430997
21,83,85,29039,415.21912,413.7158203,99.39240072,29770,416.3679,407.9358521,131.3849681
22,180,101,30355,417.01645,408.7350464,131.294347,31084,415.12378,416.0811768,102.2130559
23,83,90,31673,415.1036,415.19104,102.2748015,32401,422.08127,396.5466919,121.5007026
24,180,90,32996,421.72348,396.8272705,121.4896785,33718,414.9226,414.9224854,102.2971734
25,90,101,34319,414.74698,415.4801025,102.9649477,35114,417.5522,403.5449829,89.56292792
26,90,85,35706,416.711,403.52771,89.52989556,36436,414.95813,417.4734497,104.2954846
27,90,90,37050,414.1812,417.305603,104.3273547,37813,415.13428,416.6947632,104.3824407
28,160,15,38402,414.95813,417.4734497,104.2954846,39106,406.4053,450.7302856,103.1952402
29,0,180,39722,406.4053,450.7302856,103.1952402,40453,415.1036,415.19104,104.4969317
30,83,85,41081,414.65204,415.5391846,104.4716085,41805,418.1283,408.4174805,136.1002787
31,180,101,42395,419.80243,408.1693726,136.6093729,43159,415.55927,417.4216919,106.694606
32,83,90,43790,415.70135,415.3591309,106.3961528,44520,424.82108,396.7779541,126.877538
33,180,90,45106,424.82108,396.7779541,126.877538,45810,415.89145,415.2286377,108.7917707
34,90,101,46433,416.17746,415.6801758,108.8129932,47185,418.31635,403.9876099,95.11701206
35,90,85,47784,419.27173,402.6488037,95.80276572,48546,416.02982,415.6542358,108.796292
36,90,90,49134,416.17746,415.6801758,108.6265948,49866,416.2486,414.9387207,109.4895269
37,160,15,50456,416.6235,415.5518799,108.5962784,51187,405.29666,448.5396729,107.6342486
38,0,180,51773,405.05115,449.1748047,107.5872145,52499,417.16486,414.5830688,109.9415899
39,83,85,53094,417.05103,416.0599365,110.3472724,53825,419.1191,408.1410522,143.229981
