sim_time,left_pwm,right_pwm,model_pos_x,model_pos_y,theta
4.035,0.2,0.2,0.001,0.0,0.019
4.054,0.2,0.2,0.002,0.0,0.019
4.15,0.2,0.2,0.003,0.0,0.023
4.258,0.2,0.2,0.004,0.0,0.028
4.355,0.2,0.2,0.004,0.0,0.032
4.456,0.2,0.2,0.004,0.0,0.034
4.497,0.2,0.4,0.004,0.0,0.042
4.551,0.2,0.4,0.006,0.0,0.117
4.654,0.2,0.4,0.008,0.0,0.154
4.766,0.2,0.4,0.01,0.0,0.161
4.851,0.2,0.4,0.011,0.0,0.167
4.95,0.2,0.4,0.011,0.0,0.171
5.055,0.2,0.4,0.012,0.0,0.177
5.15,0.2,0.4,0.012,0.0,0.179
5.176,0.2,0.6000000000000001,0.012,0.0,0.182
5.249,0.2,0.6000000000000001,0.014,0.0,0.402
5.349,0.2,0.6000000000000001,0.017,0.0,0.617
5.458,0.2,0.6000000000000001,0.02,0.0,0.649
5.562,0.2,0.6000000000000001,0.022,0.0,0.661
5.663,0.2,0.6000000000000001,0.024,0.0,0.669
5.753,0.2,0.6000000000000001,0.025,0.0,0.675
5.849,0.2,0.6000000000000001,0.025,0.0,0.681
5.951,0.2,0.6000000000000001,0.026,0.0,0.687
6.061,0.2,0.6000000000000001,0.026,0.0,0.688
6.092,0.2,0.8,0.026,0.0,0.696
6.149,0.2,0.8,0.028,0.0,0.914
6.258,0.2,0.8,0.032,-0.001,1.467
6.349,0.2,0.8,0.036,-0.001,1.73
6.457,0.2,0.8,0.038,-0.001,1.766
6.558,0.2,0.8,0.041,-0.001,1.789
6.656,0.2,0.8,0.043,-0.001,1.808
6.75,0.2,0.8,0.045,-0.001,1.824
6.855,0.2,0.8,0.046,-0.001,1.837
6.954,0.2,0.8,0.046,-0.001,1.846
7.064,0.2,0.8,0.047,-0.001,1.852
7.16,0.2,0.8,0.047,-0.001,1.853
7.193,0.2,1.0,0.047,-0.001,1.864
7.253,0.2,1.0,0.049,-0.002,2.119
7.353,0.2,1.0,0.054,-0.003,2.892
7.457,0.2,1.0,0.058,-0.003,3.437
7.55,0.2,1.0,0.062,-0.003,3.695
7.651,0.2,1.0,0.065,-0.003,3.784
7.755,0.2,1.0,0.068,-0.003,3.837
7.857,0.2,1.0,0.071,-0.003,3.881
7.951,0.2,1.0,0.073,-0.003,3.914
8.054,0.2,1.0,0.075,-0.003,3.942
8.166,0.2,1.0,0.076,-0.003,3.964
8.249,0.2,1.0,0.077,-0.003,3.974
8.351,0.2,1.0,0.077,-0.003,3.978
8.376,0.2,1.2,0.077,-0.003,3.993
8.453,0.2,1.2,0.08,-0.003,4.407
8.553,0.2,1.2,0.086,-0.004,5.321
8.655,0.2,1.2,0.092,-0.004,5.894
8.754,0.2,1.2,0.097,-0.004,6.09
8.858,0.2,1.2,0.101,-0.004,6.207
8.955,0.2,1.2,0.105,-0.004,6.308
9.051,0.2,1.2,0.109,-0.003,6.395
9.152,0.2,1.2,0.112,-0.003,6.477
9.249,0.2,1.2,0.115,-0.003,6.543
9.357,0.2,1.2,0.117,-0.003,6.598
9.463,0.2,1.2,0.118,-0.003,6.63
9.561,0.2,1.2,0.119,-0.003,6.641
9.655,0.2,1.2,0.12,-0.003,6.641
9.76,0.2,1.2,0.12,-0.003,6.644
9.85,0.2,1.2,0.12,-0.003,6.645
9.881,0.2,1.4,0.12,-0.003,6.661
9.954,0.2,1.4,0.125,-0.003,7.246
10.05,0.2,1.4,0.131,-0.003,8.26
10.15,0.2,1.4,0.138,-0.004,8.976
10.249,0.2,1.4,0.144,-0.003,9.325
10.367,0.2,1.4,0.151,-0.003,9.566
10.45,0.2,1.4,0.155,-0.002,9.742
10.552,0.2,1.4,0.16,-0.002,9.907
10.65,0.2,1.4,0.163,-0.001,10.049
10.773,0.2,1.4,0.168,-0.001,10.211
10.851,0.2,1.4,0.17,0.0,10.3
10.949,0.2,1.4,0.172,0.0,10.396
11.062,0.2,1.4,0.175,0.0,10.488
11.15,0.2,1.4,0.176,0.0,10.535
11.258,0.2,1.4,0.177,0.0,10.574
11.349,0.2,1.4,0.177,0.0,10.587
11.458,0.2,1.4,0.177,0.0,10.589
11.49,0.2,1.5999999999999999,0.178,0.0,10.61
11.558,0.2,1.5999999999999999,0.182,0.0,11.254
11.649,0.2,1.5999999999999999,0.19,0.0,12.603
11.749,0.2,1.5999999999999999,0.198,0.0,13.722
11.863,0.2,1.5999999999999999,0.207,0.0,14.606
11.951,0.2,1.5999999999999999,0.213,0.001,15.013
12.051,0.2,1.5999999999999999,0.22,0.002,15.408
12.167,0.2,1.5999999999999999,0.227,0.003,15.843
12.256,0.2,1.5999999999999999,0.232,0.004,16.162
12.358,0.2,1.5999999999999999,0.236,0.005,16.476
12.452,0.2,1.5999999999999999,0.24,0.006,16.742
12.552,0.2,1.5999999999999999,0.244,0.006,17.006
12.663,0.2,1.5999999999999999,0.248,0.007,17.249
12.766,0.2,1.5999999999999999,0.251,0.008,17.452
12.849,0.2,1.5999999999999999,0.253,0.008,17.571
12.95,0.2,1.5999999999999999,0.254,0.008,17.698
13.057,0.2,1.5999999999999999,0.256,0.008,17.793
13.15,0.2,1.5999999999999999,0.257,0.009,17.839
13.25,0.2,1.5999999999999999,0.257,0.009,17.853
13.36,0.2,1.5999999999999999,0.257,0.009,17.853
13.407,0.2,1.7999999999999998,0.257,0.009,17.883
13.457,0.2,1.7999999999999998,0.261,0.01,18.457
13.553,0.2,1.7999999999999998,0.269,0.01,19.975
13.661,0.2,1.7999999999999998,0.278,0.011,21.323
13.754,0.2,1.7999999999999998,0.286,0.013,22.266
13.857,0.2,1.7999999999999998,0.294,0.014,23.078
13.951,0.2,1.7999999999999998,0.301,0.016,23.776
14.049,0.2,1.7999999999999998,0.308,0.018,24.451
14.149,0.2,1.7999999999999998,0.314,0.02,25.145
14.252,0.2,1.7999999999999998,0.32,0.021,25.79
14.351,0.2,1.7999999999999998,0.326,0.023,26.423
14.463,0.2,1.7999999999999998,0.331,0.024,27.022
14.554,0.2,1.7999999999999998,0.335,0.025,27.487
14.649,0.2,1.7999999999999998,0.339,0.026,27.928
14.755,0.2,1.7999999999999998,0.342,0.027,28.379
14.853,0.2,1.7999999999999998,0.345,0.028,28.729
14.951,0.2,1.7999999999999998,0.347,0.029,29.035
15.049,0.2,1.7999999999999998,0.349,0.03,29.274
15.149,0.2,1.7999999999999998,0.351,0.03,29.475
15.254,0.2,1.7999999999999998,0.352,0.03,29.594
15.351,0.2,1.7999999999999998,0.352,0.03,29.654
15.453,0.2,1.7999999999999998,0.352,0.031,29.666
15.485,0.2,1.9999999999999998,0.353,0.031,29.702
15.55,0.2,1.9999999999999998,0.357,0.032,30.504
15.662,0.2,1.9999999999999998,0.368,0.035,32.643
15.763,0.2,1.9999999999999998,0.379,0.038,34.361
15.855,0.2,1.9999999999999998,0.387,0.041,35.657
15.949,0.2,1.9999999999999998,0.395,0.044,37.147
16.058,0.2,1.9999999999999998,0.404,0.047,38.63
16.149,0.2,1.9999999999999998,0.411,0.05,39.955
16.254,0.2,1.9999999999999998,0.418,0.053,41.372
16.353,0.2,1.9999999999999998,0.424,0.056,42.688
16.454,0.2,1.9999999999999998,0.431,0.059,44.056
16.551,0.2,1.9999999999999998,0.436,0.061,45.182
16.65,0.2,1.9999999999999998,0.441,0.063,46.438
16.751,0.2,1.9999999999999998,0.445,0.065,47.384
16.852,0.2,1.9999999999999998,0.449,0.067,48.391
16.953,0.2,1.9999999999999998,0.452,0.069,49.252
17.051,0.2,1.9999999999999998,0.455,0.07,50.029
17.15,0.2,1.9999999999999998,0.458,0.071,50.713
