sim_time,left_pwm,right_pwm,model_pos_x,model_pos_y,theta
6.121,0.1,0.1,0.002,0.0,0.03
6.148,0.1,0.1,0.002,0.0,0.031
6.243,0.1,0.1,0.003,0.0,0.034
6.341,0.1,0.1,0.003,0.0,0.039
6.441,0.1,0.1,0.003,0.0,0.042
6.479,0.1,0.2,0.004,0.0,0.049
6.54,0.1,0.2,0.004,0.0,0.072
6.641,0.1,0.2,0.005,0.0,0.081
6.748,0.1,0.2,0.005,0.0,0.086
6.841,0.1,0.2,0.005,0.0,0.088
6.869,0.1,0.30000000000000004,0.006,0.0,0.101
6.949,0.1,0.30000000000000004,0.007,0.0,0.195
7.045,0.1,0.30000000000000004,0.008,0.0,0.211
7.152,0.1,0.30000000000000004,0.008,0.0,0.216
7.254,0.1,0.30000000000000004,0.009,0.0,0.221
7.34,0.1,0.30000000000000004,0.009,0.0,0.222
7.372,0.1,0.4,0.009,0.0,0.23
7.44,0.1,0.4,0.01,0.0,0.389
7.541,0.1,0.4,0.012,0.0,0.489
7.642,0.1,0.4,0.013,0.0,0.498
7.742,0.1,0.4,0.014,0.0,0.506
7.84,0.1,0.4,0.015,0.0,0.51
7.941,0.1,0.4,0.015,0.0,0.512
7.972,0.1,0.5,0.015,0.0,0.522
8.041,0.1,0.5,0.016,0.0,0.739
8.14,0.1,0.5,0.018,-0.001,0.96
8.248,0.1,0.5,0.02,-0.001,1.0
8.344,0.1,0.5,0.021,-0.001,1.011
8.443,0.1,0.5,0.022,-0.001,1.018
8.546,0.1,0.5,0.022,-0.001,1.024
8.644,0.1,0.5,0.022,-0.001,1.026
8.676,0.1,0.6,0.022,-0.001,1.036
8.75,0.1,0.6,0.024,-0.001,1.376
8.847,0.1,0.6,0.026,-0.001,1.64
8.943,0.1,0.6,0.028,-0.001,1.751
9.043,0.1,0.6,0.03,-0.001,1.771
9.144,0.1,0.6,0.031,-0.001,1.783
9.244,0.1,0.6,0.032,-0.001,1.791
9.346,0.1,0.6,0.032,-0.001,1.797
9.44,0.1,0.6,0.032,-0.001,1.799
9.474,0.1,0.7,0.032,-0.001,1.813
9.543,0.1,0.7,0.034,-0.002,2.126
9.653,0.1,0.7,0.037,-0.002,2.629
9.741,0.1,0.7,0.039,-0.003,2.823
9.844,0.1,0.7,0.041,-0.003,2.874
9.942,0.1,0.7,0.043,-0.003,2.898
10.041,0.1,0.7,0.044,-0.002,2.915
10.145,0.1,0.7,0.044,-0.002,2.926
10.241,0.1,0.7,0.045,-0.002,2.932
10.342,0.1,0.7,0.045,-0.002,2.934
10.371,0.1,0.7999999999999999,0.045,-0.002,2.978
10.443,0.1,0.7999999999999999,0.047,-0.003,3.321
10.54,0.1,0.7999999999999999,0.05,-0.004,3.883
10.642,0.1,0.7999999999999999,0.053,-0.004,4.237
10.743,0.1,0.7999999999999999,0.056,-0.004,4.34
10.856,0.1,0.7999999999999999,0.058,-0.004,4.386
10.941,0.1,0.7999999999999999,0.059,-0.004,4.412
11.042,0.1,0.7999999999999999,0.061,-0.004,4.435
11.141,0.1,0.7999999999999999,0.061,-0.004,4.45
11.253,0.1,0.7999999999999999,0.062,-0.004,4.457
11.346,0.1,0.7999999999999999,0.062,-0.004,4.459
11.373,0.1,0.8999999999999999,0.062,-0.004,4.469
11.441,0.1,0.8999999999999999,0.064,-0.004,4.849
11.542,0.1,0.8999999999999999,0.068,-0.005,5.552
11.643,0.1,0.8999999999999999,0.071,-0.005,5.991
11.742,0.1,0.8999999999999999,0.074,-0.005,6.142
11.841,0.1,0.8999999999999999,0.077,-0.005,6.209
11.944,0.1,0.8999999999999999,0.079,-0.005,6.267
12.046,0.1,0.8999999999999999,0.081,-0.005,6.312
12.148,0.1,0.8999999999999999,0.082,-0.005,6.344
12.24,0.1,0.8999999999999999,0.083,-0.004,6.363
12.342,0.1,0.8999999999999999,0.083,-0.004,6.369
12.373,0.1,0.9999999999999999,0.084,-0.004,6.39
12.441,0.1,0.9999999999999999,0.086,-0.005,6.751
12.54,0.1,0.9999999999999999,0.09,-0.005,7.523
12.645,0.1,0.9999999999999999,0.094,-0.005,7.934
12.74,0.1,0.9999999999999999,0.098,-0.005,8.059
12.843,0.1,0.9999999999999999,0.101,-0.005,8.166
12.944,0.1,0.9999999999999999,0.104,-0.005,8.245
13.044,0.1,0.9999999999999999,0.106,-0.004,8.31
13.147,0.1,0.9999999999999999,0.107,-0.004,8.361
13.244,0.1,0.9999999999999999,0.108,-0.004,8.389
