sim_time,left_pwm,right_pwm,model_pos_x,model_pos_y,theta
6.162,0.30000000000000004,2.9000000000000004,0.002,0.0,0.03
6.165,0.30000000000000004,2.9000000000000004,0.002,0.0,0.032
6.199,0.30000000000000004,2.9000000000000004,0.003,0.0,0.09
6.22,0.30000000000000004,2.9000000000000004,0.004,0.0,0.232
6.253,0.30000000000000004,2.9000000000000004,0.007,0.0,0.569
6.298,0.30000000000000004,2.9000000000000004,0.01,-0.001,1.189
6.337,0.30000000000000004,2.9000000000000004,0.014,-0.002,1.97
6.365,0.30000000000000004,2.9000000000000004,0.017,-0.003,2.591
6.391,0.30000000000000004,2.9000000000000004,0.02,-0.004,3.334
6.429,0.30000000000000004,2.9000000000000004,0.025,-0.006,4.399
6.461,0.30000000000000004,2.9000000000000004,0.029,-0.007,5.264
6.493,0.30000000000000004,2.9000000000000004,0.033,-0.008,6.131
6.521,0.30000000000000004,2.9000000000000004,0.037,-0.009,6.892
6.56,0.30000000000000004,2.9000000000000004,0.042,-0.01,7.902
6.594,0.30000000000000004,2.9000000000000004,0.046,-0.011,8.7
6.626,0.30000000000000004,2.9000000000000004,0.05,-0.012,9.427
6.663,0.30000000000000004,2.9000000000000004,0.054,-0.012,10.263
6.688,0.30000000000000004,2.9000000000000004,0.057,-0.013,10.716
6.719,0.30000000000000004,2.9000000000000004,0.061,-0.013,11.342
6.752,0.30000000000000004,2.9000000000000004,0.066,-0.013,12.058
6.791,0.30000000000000004,2.9000000000000004,0.07,-0.013,12.704
6.827,0.30000000000000004,2.9000000000000004,0.075,-0.013,13.325
6.863,0.30000000000000004,2.9000000000000004,0.079,-0.013,13.822
6.893,0.30000000000000004,2.9000000000000004,0.082,-0.013,14.172
6.925,0.30000000000000004,2.9000000000000004,0.086,-0.013,14.552
6.962,0.30000000000000004,2.9000000000000004,0.09,-0.012,14.979
6.988,0.30000000000000004,2.9000000000000004,0.094,-0.012,15.244
7.025,0.30000000000000004,2.9000000000000004,0.098,-0.011,15.51
7.061,0.30000000000000004,2.9000000000000004,0.101,-0.011,15.754
7.083,0.30000000000000004,2.9000000000000004,0.104,-0.01,15.91
7.107,0.30000000000000004,2.9000000000000004,0.107,-0.01,16.095
7.141,0.30000000000000004,2.9000000000000004,0.11,-0.009,16.333
7.177,0.30000000000000004,2.9000000000000004,0.114,-0.008,16.58
7.213,0.30000000000000004,2.9000000000000004,0.117,-0.008,16.827
7.247,0.30000000000000004,2.9000000000000004,0.121,-0.007,17.071
7.277,0.30000000000000004,2.9000000000000004,0.124,-0.007,17.295
7.309,0.30000000000000004,2.9000000000000004,0.127,-0.006,17.519
7.34,0.30000000000000004,2.9000000000000004,0.13,-0.005,17.723
7.37,0.30000000000000004,2.9000000000000004,0.133,-0.005,17.948
7.399,0.30000000000000004,2.9000000000000004,0.135,-0.004,18.098
7.427,0.30000000000000004,2.9000000000000004,0.138,-0.004,18.335
7.451,0.30000000000000004,2.9000000000000004,0.14,-0.004,18.453
7.479,0.30000000000000004,2.9000000000000004,0.143,-0.003,18.675
7.515,0.30000000000000004,2.9000000000000004,0.146,-0.002,18.893
7.556,0.30000000000000004,2.9000000000000004,0.15,-0.002,19.157
7.591,0.30000000000000004,2.9000000000000004,0.153,-0.001,19.385
7.629,0.30000000000000004,2.9000000000000004,0.155,0.0,19.581
7.668,0.30000000000000004,2.9000000000000004,0.159,0.0,19.854
7.706,0.30000000000000004,2.9000000000000004,0.162,0.0,20.072
7.738,0.30000000000000004,2.9000000000000004,0.164,0.0,20.254
7.769,0.30000000000000004,2.9000000000000004,0.166,0.001,20.453
7.8,0.30000000000000004,2.9000000000000004,0.168,0.001,20.622
7.834,0.30000000000000004,2.9000000000000004,0.171,0.002,20.837
7.862,0.30000000000000004,2.9000000000000004,0.173,0.002,20.994
7.895,0.30000000000000004,2.9000000000000004,0.175,0.003,21.178
7.922,0.30000000000000004,2.9000000000000004,0.177,0.003,21.337
7.958,0.30000000000000004,2.9000000000000004,0.179,0.004,21.548
7.99,0.30000000000000004,2.9000000000000004,0.181,0.004,21.73
8.038,0.30000000000000004,2.9000000000000004,0.184,0.005,22.004
8.074,0.30000000000000004,2.9000000000000004,0.186,0.006,22.181
8.105,0.30000000000000004,2.9000000000000004,0.188,0.006,22.348
8.138,0.30000000000000004,2.9000000000000004,0.19,0.006,22.532
8.179,0.30000000000000004,2.9000000000000004,0.192,0.007,22.728
8.217,0.30000000000000004,2.9000000000000004,0.194,0.007,22.872
8.248,0.30000000000000004,2.9000000000000004,0.195,0.008,23.045
8.282,0.30000000000000004,2.9000000000000004,0.197,0.008,23.212
8.313,0.30000000000000004,2.9000000000000004,0.199,0.009,23.34
8.354,0.30000000000000004,2.9000000000000004,0.2,0.009,23.502
8.382,0.30000000000000004,2.9000000000000004,0.202,0.009,23.629
8.423,0.30000000000000004,2.9000000000000004,0.203,0.01,23.797
8.46,0.30000000000000004,2.9000000000000004,0.204,0.01,23.907
8.493,0.30000000000000004,2.9000000000000004,0.206,0.01,24.051
8.529,0.30000000000000004,2.9000000000000004,0.207,0.011,24.18
8.567,0.30000000000000004,2.9000000000000004,0.208,0.011,24.283
8.596,0.30000000000000004,2.9000000000000004,0.209,0.011,24.369
8.622,0.30000000000000004,2.9000000000000004,0.21,0.011,24.461
8.662,0.30000000000000004,2.9000000000000004,0.211,0.012,24.557
8.696,0.30000000000000004,2.9000000000000004,0.212,0.012,24.647
8.733,0.30000000000000004,2.9000000000000004,0.213,0.012,24.737
8.768,0.30000000000000004,2.9000000000000004,0.213,0.012,24.815
8.807,0.30000000000000004,2.9000000000000004,0.214,0.013,24.895
8.841,0.30000000000000004,2.9000000000000004,0.215,0.013,24.954
8.881,0.30000000000000004,2.9000000000000004,0.215,0.013,25.012
8.915,0.30000000000000004,2.9000000000000004,0.216,0.013,25.058
8.949,0.30000000000000004,2.9000000000000004,0.216,0.013,25.094
8.981,0.30000000000000004,2.9000000000000004,0.216,0.013,25.119
9.017,0.30000000000000004,2.9000000000000004,0.217,0.013,25.144
9.05,0.30000000000000004,2.9000000000000004,0.217,0.013,25.164
9.089,0.30000000000000004,2.9000000000000004,0.217,0.013,25.18
9.121,0.30000000000000004,2.9000000000000004,0.217,0.013,25.187
9.159,0.30000000000000004,2.9000000000000004,0.217,0.013,25.191
9.197,0.30000000000000004,2.9000000000000004,0.217,0.013,25.192
9.227,0.30000000000000004,2.9000000000000004,0.217,0.013,25.191
9.266,0.30000000000000004,2.9000000000000004,0.217,0.013,25.191
9.299,0.30000000000000004,2.9000000000000004,0.217,0.013,25.191
9.338,0.30000000000000004,2.9000000000000004,0.217,0.013,25.19
9.379,0.30000000000000004,2.9000000000000004,0.217,0.013,25.191
9.403,0.30000000000000004,2.9000000000000004,0.217,0.013,25.191
9.44,0.30000000000000004,2.9000000000000004,0.217,0.013,25.192
9.479,0.30000000000000004,2.9000000000000004,0.217,0.013,25.193
9.515,0.30000000000000004,2.9000000000000004,0.217,0.013,25.194
9.557,0.30000000000000004,2.9000000000000004,0.217,0.013,25.194
9.613,0.30000000000000004,2.9000000000000004,0.217,0.013,25.195
9.641,0.30000000000000004,2.9000000000000004,0.217,0.013,25.196
9.665,0.30000000000000004,2.9000000000000004,0.217,0.013,25.196
9.699,2.5,2.8000000000000003,0.219,0.015,25.255
9.736,2.5,2.8000000000000003,0.227,0.019,25.392
9.771,2.5,2.8000000000000003,0.235,0.022,25.543
9.812,2.5,2.8000000000000003,0.244,0.026,25.698
9.843,2.5,2.8000000000000003,0.25,0.029,25.822
9.875,2.5,2.8000000000000003,0.257,0.032,25.962
9.905,2.5,2.8000000000000003,0.264,0.035,26.104
9.935,2.5,2.8000000000000003,0.271,0.038,26.255
9.97,2.5,2.8000000000000003,0.278,0.041,26.42
10.002,2.5,2.8000000000000003,0.284,0.044,26.578
10.038,2.5,2.8000000000000003,0.291,0.047,26.767
10.058,2.5,2.8000000000000003,0.296,0.05,26.936
10.097,2.5,2.8000000000000003,0.304,0.053,27.163
10.126,2.5,2.8000000000000003,0.31,0.056,27.375
10.164,2.5,2.8000000000000003,0.318,0.059,27.632
10.195,2.5,2.8000000000000003,0.324,0.062,27.864
10.231,2.5,2.8000000000000003,0.33,0.065,28.097
10.265,2.5,2.8000000000000003,0.338,0.069,28.41
10.309,2.5,2.8000000000000003,0.346,0.072,28.754
10.342,2.5,2.8000000000000003,0.353,0.075,29.043
10.37,2.5,2.8000000000000003,0.358,0.078,29.297
10.424,2.5,2.8000000000000003,0.368,0.083,29.797
10.444,2.5,2.8000000000000003,0.372,0.084,29.985
10.477,2.5,2.8000000000000003,0.378,0.087,30.282
10.505,2.5,2.8000000000000003,0.383,0.09,30.567
10.536,2.5,2.8000000000000003,0.388,0.092,30.868
10.569,2.5,2.8000000000000003,0.394,0.095,31.207
10.612,2.5,2.8000000000000003,0.401,0.098,31.66
10.642,2.5,2.8000000000000003,0.406,0.101,31.973
10.671,2.5,2.8000000000000003,0.411,0.103,32.292
10.693,2.5,2.8000000000000003,0.415,0.105,32.549
10.732,2.5,2.8000000000000003,0.42,0.108,32.9
10.754,2.5,2.8000000000000003,0.424,0.11,33.2
10.781,2.5,2.8000000000000003,0.43,0.113,33.597
10.81,2.5,2.8000000000000003,0.434,0.115,33.895
10.844,2.5,2.8000000000000003,0.439,0.117,34.292
10.875,2.5,2.8000000000000003,0.444,0.12,34.745
10.916,2.5,2.8000000000000003,0.45,0.123,35.305
10.948,2.5,2.8000000000000003,0.454,0.125,35.722
10.982,2.5,2.8000000000000003,0.46,0.128,36.265
11.007,2.5,2.8000000000000003,0.462,0.129,36.517
11.027,2.5,2.8000000000000003,0.466,0.131,36.91
11.059,2.5,2.8000000000000003,0.47,0.133,37.386
11.088,2.5,2.8000000000000003,0.474,0.135,37.883
11.119,2.5,2.8000000000000003,0.478,0.137,38.344
11.15,2.5,2.8000000000000003,0.483,0.14,38.856
11.185,2.5,2.8000000000000003,0.487,0.142,39.409
11.218,2.5,2.8000000000000003,0.492,0.145,40.023
11.255,2.5,2.8000000000000003,0.496,0.147,40.58
11.288,2.5,2.8000000000000003,0.5,0.149,41.179
11.324,2.5,2.8000000000000003,0.504,0.152,41.751
11.349,2.5,2.8000000000000003,0.508,0.153,42.241
11.378,2.5,2.8000000000000003,0.511,0.155,42.7
11.414,2.5,2.8000000000000003,0.515,0.158,43.395
11.443,2.5,2.8000000000000003,0.518,0.159,43.88
11.472,2.5,2.8000000000000003,0.522,0.161,44.423
11.5,2.5,2.8000000000000003,0.525,0.163,45.007
11.531,2.5,2.8000000000000003,0.529,0.165,45.576
11.55,2.5,2.8000000000000003,0.531,0.167,45.908
11.584,2.5,2.8000000000000003,0.534,0.169,46.5
11.617,2.5,2.8000000000000003,0.537,0.171,47.13
11.65,2.5,2.8000000000000003,0.54,0.173,47.676
11.68,2.5,2.8000000000000003,0.544,0.175,48.28
